번호,지역,상호,주소,기간,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190811,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190812,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190813,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190814,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190815,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190816,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190817,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190818,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190819,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190820,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190821,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190822,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190823,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190824,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190825,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190826,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190827,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190828,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190829,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190830,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190831,SK에너지,셀프,1777,1595,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190901,SK에너지,셀프,1797,1635,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190902,SK에너지,셀프,1797,1635,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190903,SK에너지,셀프,1797,1635,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190904,SK에너지,셀프,1797,1635,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190905,SK에너지,셀프,1797,1635,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190906,SK에너지,셀프,1797,1635,1495,0
