번호,지역,상호,주소,기간,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190217,SK에너지,셀프,1673,1445,1355,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190218,SK에너지,셀프,1673,1445,1355,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190219,SK에너지,셀프,1673,1445,1355,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190220,SK에너지,셀프,1673,1445,1355,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190221,SK에너지,셀프,1673,1445,1355,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190222,SK에너지,셀프,1673,1445,1355,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190223,SK에너지,셀프,1673,1445,1355,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190224,SK에너지,셀프,1673,1445,1355,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190225,SK에너지,셀프,1673,1445,1355,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190226,SK에너지,셀프,1673,1445,1355,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190227,SK에너지,셀프,1673,1445,1355,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190228,SK에너지,셀프,1643,1415,1315,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190301,SK에너지,셀프,1643,1415,1315,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190302,SK에너지,셀프,1643,1415,1315,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190303,SK에너지,셀프,1643,1415,1315,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190304,SK에너지,셀프,1643,1415,1315,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190305,SK에너지,셀프,1643,1415,1315,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190306,SK에너지,셀프,1643,1415,1315,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190307,SK에너지,셀프,1643,1415,1315,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190308,SK에너지,셀프,1663,1435,1335,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190309,SK에너지,셀프,1663,1435,1335,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190310,SK에너지,셀프,1663,1435,1335,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190311,SK에너지,셀프,1663,1435,1335,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190312,SK에너지,셀프,1663,1435,1335,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190313,SK에너지,셀프,1663,1435,1335,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190314,SK에너지,셀프,1663,1435,1335,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190315,SK에너지,셀프,1663,1435,1335,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190316,SK에너지,셀프,1673,1445,1355,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190317,SK에너지,셀프,1673,1445,1355,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190318,SK에너지,셀프,1673,1445,1355,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190319,SK에너지,셀프,1673,1445,1355,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190320,SK에너지,셀프,1673,1445,1355,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190321,SK에너지,셀프,1683,1465,1365,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190322,SK에너지,셀프,1683,1465,1365,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190323,SK에너지,셀프,1683,1465,1365,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190324,SK에너지,셀프,1683,1465,1365,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190325,SK에너지,셀프,1683,1465,1365,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190326,SK에너지,셀프,1683,1465,1365,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190327,SK에너지,셀프,1683,1465,1365,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190328,SK에너지,셀프,1683,1465,1365,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190329,SK에너지,셀프,1683,1465,1365,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190330,SK에너지,셀프,1683,1465,1365,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190331,SK에너지,셀프,1683,1465,1365,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190401,SK에너지,셀프,1683,1465,1365,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190402,SK에너지,셀프,1693,1480,1380,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190403,SK에너지,셀프,1693,1480,1380,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190404,SK에너지,셀프,1693,1480,1380,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190405,SK에너지,셀프,1693,1480,1380,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190406,SK에너지,셀프,1693,1480,1380,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190407,SK에너지,셀프,1693,1480,1380,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190408,SK에너지,셀프,1693,1480,1380,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190409,SK에너지,셀프,1693,1480,1380,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190410,SK에너지,셀프,1693,1497,1397,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190411,SK에너지,셀프,1693,1497,1397,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190412,SK에너지,셀프,1693,1497,1397,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190413,SK에너지,셀프,1693,1497,1397,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190414,SK에너지,셀프,1693,1497,1397,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190415,SK에너지,셀프,1693,1497,1397,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190416,SK에너지,셀프,1693,1497,1397,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190417,SK에너지,셀프,1693,1497,1397,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190418,SK에너지,셀프,1717,1517,1417,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190419,SK에너지,셀프,1717,1517,1417,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190420,SK에너지,셀프,1717,1517,1417,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190421,SK에너지,셀프,1717,1517,1417,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190422,SK에너지,셀프,1717,1517,1417,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190423,SK에너지,셀프,1717,1517,1417,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190424,SK에너지,셀프,1717,1517,1417,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190425,SK에너지,셀프,1717,1517,1417,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190426,SK에너지,셀프,1717,1517,1417,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190427,SK에너지,셀프,1717,1517,1417,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190428,SK에너지,셀프,1717,1517,1417,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190429,SK에너지,셀프,1717,1517,1417,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190430,SK에너지,셀프,1737,1537,1437,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190501,SK에너지,셀프,1737,1537,1437,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190502,SK에너지,셀프,1737,1537,1437,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190503,SK에너지,셀프,1737,1537,1437,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190504,SK에너지,셀프,1737,1537,1437,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190505,SK에너지,셀프,1737,1537,1437,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190506,SK에너지,셀프,1737,1537,1437,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190507,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190508,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190509,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190510,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190511,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190512,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190513,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190514,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190515,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190516,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190517,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190518,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190519,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190520,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190521,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190522,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190523,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190524,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190525,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190526,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190527,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190528,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190529,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190530,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190531,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190601,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190602,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190603,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190604,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190605,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190606,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190607,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190608,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190609,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190610,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190611,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190612,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190613,SK에너지,셀프,1797,1597,1497,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190614,SK에너지,셀프,1777,1577,1477,0
